,company_name,sic,office,industry,cik
ADTN,ADTRAN INC,3661,Office of Manufacturing,TELEPHONE & TELEGRAPH APPARATUS,0000926282
ADUS,Addus HomeCare Corp,8082,Industrial Applications and Services,SERVICES-HOME HEALTH CARE SERVICES,0001468328
ADV,Advantage Solutions Inc.,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001776661
AEE,CENTRAL ILLINOIS LIGHT CO,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED,0000018651
AEIS,ADVANCED ENERGY INDUSTRIES INC,3679,Office of Manufacturing,"ELECTRONIC COMPONENTS, NEC",0000927003
AEL,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,6311,Office of Finance,LIFE INSURANCE,0001039828
AEO,AMERICAN EAGLE OUTFITTERS INC,5651,Office of Trade & Services,RETAIL-FAMILY CLOTHING STORES,0000919012
AEP,AMERICAN ELECTRIC POWER CO INC,4911,Office of Energy & Transportation,ELECTRIC SERVICES,0000004904
AERI,AERIE PHARMACEUTICALS INC,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001337553
AES,AES CORP,4991,Office of Energy & Transportation,COGENERATION SERVICES & SMALL POWER PRODUCERS,0000874761
AEVA,"Aeva Technologies, Inc.",3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,0001789029
AFCG,"AFC Gamma, Inc.",6500,Office of Real Estate & Construction,REAL ESTATE,0001822523
AFG,AMERICAN FINANCIAL GROUP INC,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",0001042046
AFL,AFLAC INC,6321,Office of Finance,ACCIDENT & HEALTH INSURANCE,0000004977
AFRM,"Affirm Holdings, Inc.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001820953
AGCO,AGCO CORP /DE,3523,Office of Technology,FARM MACHINERY & EQUIPMENT,0000880266
AGEN,AGENUS INC,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001098972
AGIO,AGIOS PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001439222
AGL,"agilon health, inc.",8090,Industrial Applications and Services,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",0001831097
AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,6111,Office of Finance,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,0000845877
AGNC,American Capital Agency Corp,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001423689
AGO,ASSURED GUARANTY LTD,6351,Office of Finance,SURETY INSURANCE,0001273813
AGR,"Avangrid, Inc.",4911,Office of Energy & Transportation,ELECTRIC SERVICES,0001634997
AGTI,"AGILITI, INC. \DE",7350,Office of Trade & Services,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING,0001749704
AGX,ARGAN INC,1700,Office of Real Estate & Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,0000100591
AGYS,AGILYSYS INC,5065,Office of Trade & Services,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",0000078749
AHCO,AdaptHealth Corp.,8082,Industrial Applications and Services,SERVICES-HOME HEALTH CARE SERVICES,0001725255
AHH,"Armada Hoffler Properties, Inc.",6500,Office of Real Estate & Construction,REAL ESTATE,0001569187
AHT,ASHFORD HOSPITALITY TRUST INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001232582
AI,Arlington Asset Investment Corp.,6799,Office of Real Estate & Construction,"INVESTORS, NEC",0001209028
AIG,AMERICAN INTERNATIONAL GROUP INC,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",0000005272
AIMC,"Altra Holdings, Inc.",3569,Office of Technology,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",0001374535
AIN,ALBANY INTERNATIONAL CORP /DE/,2221,Office of Manufacturing,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",0000819793
AIP,"Arteris, Inc.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0001667011
AIR,AAR CORP,3720,Office of Manufacturing,AIRCRAFT & PARTS,0000001750
AIRC,Apartment Income REIT Corp.,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001820877
AIRS,"Airsculpt Technologies, Inc.",8011,Industrial Applications and Services,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,0001870940
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,5080,Office of Trade & Services,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES",0000109563
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0000922864
AIZ,ASSURANT INC,6321,Office of Finance,ACCIDENT & HEALTH INSURANCE,0001267238
AJG,GALLAGHER ARTHUR J & CO,6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",0000354190
AJRD,"AEROJET ROCKETDYNE HOLDINGS, INC.",3760,Office of Manufacturing,GUIDED MISSILES & SPACE VEHICLES & PARTS,0000040888
AKA,A.K.A. BRANDS HOLDING CORP.,5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES,0001865107
AKAM,AKAMAI TECHNOLOGIES INC,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001086222
AKR,ACADIA REALTY TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0000899629
AKRO,"Akero Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001744659
AKTS,"Akoustis Technologies, Inc.",3661,Office of Manufacturing,TELEPHONE & TELEGRAPH APPARATUS,0001584754
AKYA,"Akoya Biosciences, Inc.",3826,Industrial Applications and Services,LABORATORY ANALYTICAL INSTRUMENTS,0001711933
AL,AIR LEASE CORP,7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",0001487712
ALB,ALBEMARLE CORP,2821,Industrial Applications and Services,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",0000915913
ALBO,"ALBIREO PHARMA, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001322505
ALCO,ALICO INC,100,Industrial Applications and Services,AGRICULTURAL PRODUCTION-CROPS,0000003545
ALE,ALLETE INC,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED,0000066756
ALEC,"Alector, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001653087
ALEX,ALEXANDER & BALDWIN INC,4400,Office of Energy & Transportation,WATER TRANSPORTATION,0000003453
ALG,ALAMO GROUP INC,3523,Office of Technology,FARM MACHINERY & EQUIPMENT,0000897077
ALGM,"ALLEGRO MICROSYSTEMS, INC.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0000866291
ALGN,ALIGN TECHNOLOGY INC,3842,Industrial Applications and Services,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",0001097149
ALGT,Allegiant Travel CO,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",0001362468
ALHC,"Alignment Healthcare, Inc.",6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS,0001832466
ALIT,"Alight, Inc. / Delaware",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001809104
ALK,ALASKA AIR GROUP INC,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",0000766421
ALKS,ALKERMES INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0000874663
ALKT,"ALKAMI TECHNOLOGY, INC.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001529274
ALL,ALLSTATE CORP,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",0000899051
ALLE,Allegion plc,7381,Office of Trade & Services,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",0001579241
ALLO,"Allogene Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001737287
ALLY,Ally Financial Inc.,6172,Office of Finance,FINANCE LESSORS,0000040729
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001178670
ALPN,"ALPINE IMMUNE SCIENCES, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001626199
ALRM,"Alarm.com Holdings, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001459200
ALRS,ALERUS FINANCIAL CORP,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,0000903419
ALSN,Allison Transmission Holdings Inc,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,0001411207
ALTG,ALTA EQUIPMENT GROUP INC.,5084,Office of Trade & Services,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,0001759824
ALTO,"Alto Ingredients, Inc.",2860,Industrial Applications and Services,INDUSTRIAL ORGANIC CHEMICALS,0000778164
ALTR,ALTERA CORP,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0000768251
ALVR,"Allovir, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001754068
ALX,ALEXANDERS INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0000003499
ALXO,ALX ONCOLOGY HOLDINGS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001810182
AM,AMERICAN GREETINGS CORP,2771,Office of Manufacturing,GREETING CARDS,0000005133
AMAL,Amalgamated Financial Corp.,6022,Office of Finance,STATE COMMERCIAL BANKS,0001823608
AMAT,APPLIED MATERIALS INC /DE,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0000006951
AMBA,AMBARELLA INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0001280263
AMBC,AMBAC FINANCIAL GROUP INC,6351,Office of Finance,SURETY INSURANCE,0000874501
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",7830,Office of Trade & Services,SERVICES-MOTION PICTURE THEATERS,0001411579
AMCR,Amcor plc,3990,Office of Manufacturing,MISCELLANEOUS MANUFACTURING INDUSTRIES,0001748790
AMCX,AMC Networks Inc.,4841,Office of Technology,CABLE & OTHER PAY TELEVISION SERVICES,0001514991
AMD,ADVANCED MICRO DEVICES INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0000002488
AME,AMETEK INC/,3621,Office of Manufacturing,MOTORS & GENERATORS,0001037868
AMED,AMEDISYS INC,8082,Industrial Applications and Services,SERVICES-HOME HEALTH CARE SERVICES,0000896262
AMEH,"Apollo Medical Holdings, Inc.",8742,Office of Trade & Services,SERVICES-MANAGEMENT CONSULTING SERVICES,0001083446
AMG,AFFILIATED MANAGERS GROUP INC,6282,Office of Finance,INVESTMENT ADVICE,0001004434
AMGN,AMGEN INC,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0000318154
AMH,American Homes 4 Rent,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001562401
AMK,"AssetMark Financial Holdings, Inc.",6282,Office of Finance,INVESTMENT ADVICE,0001591587
AMKR,AMKOR TECHNOLOGY INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0001047127
AMN,AMERON INTERNATIONAL CORP,3270,Office of Manufacturing,"CONCRETE, GYPSUM & PLASTER PRODUCTS",0000790730
AMNB,AMERICAN NATIONAL BANKSHARES INC,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,0000741516
AMOT,ALLIED MOTION TECHNOLOGIES INC,3825,Industrial Applications and Services,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,0000046129
AMP,AMERIPRISE FINANCIAL INC,6282,Office of Finance,INVESTMENT ADVICE,0000820027
AMPH,"Amphastar Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001297184
AMPL,AMPAL-AMERICAN ISRAEL CORP,6799,Office of Real Estate & Construction,"INVESTORS, NEC",0000731859
AMPS,"Altus Power, Inc.",4911,Office of Energy & Transportation,ELECTRIC SERVICES,0001828723
AMPY,Amplify Energy Corp.,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,0001533924
AMR,AMR CORP,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",0000006201
AMRC,"Ameresco, Inc.",1700,Office of Real Estate & Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,0001488139
AMRK,"A-Mark Precious Metals, Inc.",5094,Office of Trade & Services,"WHOLESALE-JEWELRY, WATCHES, PRECIOUS STONES & METALS",0001591588
AMRS,"AMYRIS, INC.",2860,Industrial Applications and Services,INDUSTRIAL ORGANIC CHEMICALS,0001365916
AMRX,"Amneal Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001723128
AMSF,AMERISAFE INC,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",0001018979
AMSWA,AMERICAN SOFTWARE INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0000713425
AMT,AMERICAN TOWER CORP /MA/,4899,Office of Technology,"COMMUNICATIONS SERVICES, NEC",0001053507
AMTB,Mercantil Bank Holding Corp,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,0001734342
AMTX,"AEMETIS, INC",2860,Industrial Applications and Services,INDUSTRIAL ORGANIC CHEMICALS,0000738214
AMWD,AMERICAN WOODMARK CORP,2430,Office of Manufacturing,"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS",0000794619
AMWL,American Well Corp,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001393584
AMZN,AMAZON COM INC,5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES,0001018724
AN,"AUTONATION, INC.",5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,0000350698
ANAB,ANAPTYSBIO INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001370053
ANDE,ANDERSONS INC,5150,Office of Trade & Services,WHOLESALE-FARM PRODUCT RAW MATERIALS,0000821026
ANET,"Arista Networks, Inc.",3576,Office of Technology,COMPUTER COMMUNICATIONS EQUIPMENT,0001596532
ANF,ABERCROMBIE & FITCH CO /DE/,5651,Office of Trade & Services,RETAIL-FAMILY CLOTHING STORES,0001018840
ANGO,ANGIODYNAMICS INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,0001275187
ANIK,ANIKA THERAPEUTICS INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,0000898437
ANIP,ANI PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001023024
ANSS,ANSYS INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001013462
ANTM,"Anthem, Inc.",6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS,0001156039
ANTX,"Anthem, Inc.",6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS,0001156039
AOMR,"Angel Oak Mortgage, Inc.",6500,Office of Real Estate & Construction,REAL ESTATE,0001766478
AON,AON CORP,6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",0000315293
AOS,SMITH A O CORP,3621,Office of Manufacturing,MOTORS & GENERATORS,0000091142
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0001387467
APA,APACHE CORP,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,0000006769
APAM,Artisan Partners Asset Management Inc.,6282,Office of Finance,INVESTMENT ADVICE,0001517302
APD,AIR PRODUCTS & CHEMICALS INC /DE/,2810,Industrial Applications and Services,INDUSTRIAL INORGANIC CHEMICALS,0000002969
APEI,AMERICAN PUBLIC EDUCATION INC,8200,Office of Trade & Services,SERVICES-EDUCATIONAL SERVICES,0001201792
APG,APi Group Corp,1700,Office of Real Estate & Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,0001796209
APH,AMPHENOL CORP /DE/,3678,Office of Manufacturing,ELECTRONIC CONNECTORS,0000820313
APLD,"Applied Blockchain, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",0001144879
APLE,"Apple Hospitality REIT, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001418121
APLS,"Apellis Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001492422
APO,Apollo Global Management LLC,6282,Office of Finance,INVESTMENT ADVICE,0001411494
APOG,"APOGEE ENTERPRISES, INC.",3231,Office of Manufacturing,"GLASS PRODUCTS, MADE OF PURCHASED GLASS",0000006845
APP,"AMERICAN APPAREL, INC",6770,Office of Real Estate & Construction,BLANK CHECKS,0001336545
APPF,APPFOLIO INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001433195
APPH,"AppHarvest, Inc.",100,Industrial Applications and Services,AGRICULTURAL PRODUCTION-CROPS,0001807707
APPN,APPIAN CORP,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001441683
APPS,"Digital Turbine, Inc.",6794,Office of Real Estate & Construction,PATENT OWNERS & LESSORS,0000317788
APTV,Aptiv PLC,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,0001521332
AQUA,Evoqua Water Technologies Corp.,3580,Office of Technology,REFRIGERATION & SERVICE INDUSTRY MACHINERY,0001604643
AR,ANTERO RESOURCES Corp,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,0001433270
ARCB,ARCBEST CORP /DE/,4213,Office of Energy & Transportation,TRUCKING (NO LOCAL),0000894405
ARCH,ARCH COAL INC,1221,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING,0001037676
ARCT,Arcturus Therapeutics Ltd.,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001566049
ARE,ALEXANDRIA REAL ESTATE EQUITIES INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001035443
ARES,Ares Management Corp,6282,Office of Finance,INVESTMENT ADVICE,0001176948
ARGO,"Argo Group International Holdings, Ltd.",6361,Office of Finance,TITLE INSURANCE,0001091748
ARI,"Apollo Commercial Real Estate Finance, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001467760
ARIS,ARI NETWORK SERVICES INC /WI,7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",0000879796
ARKO,ARKO Corp.,5412,Office of Trade & Services,RETAIL-CONVENIENCE STORES,0001823794
ARL,AMERICAN REALTY INVESTORS INC,6510,Office of Real Estate & Construction,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS,0001102238
ARLO,"Arlo Technologies, Inc.",3651,Office of Manufacturing,HOUSEHOLD AUDIO & VIDEO EQUIPMENT,0001736946
ARMK,Aramark,5812,Office of Trade & Services,RETAIL-EATING PLACES,0001584509
ARNC,Arconic Inc.,3350,Office of Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,0000004281
AROC,"Archrock, Inc.",7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",0001389050
AROW,ARROW FINANCIAL CORP,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,0000717538
ARQT,"Arcutis Biotherapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001787306
ARR,"Armour Residential REIT, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001428205
ARRY,PHOTOMEDEX INC,3845,Industrial Applications and Services,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,0000711665
ARTNA,ARTESIAN RESOURCES CORP,4941,Office of Energy & Transportation,WATER SUPPLY,0000863110
ARVN,"ARVINAS, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001655759
ARW,ARROW ELECTRONICS INC,5065,Office of Trade & Services,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",0000007536
