,company_name,sic,office,industry,cik
ACAD,ACADIA PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1070494
ACC,AMERICAN CAMPUS COMMUNITIES INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1283630
ACCD,"Accolade, Inc.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1481646
ACCO,ACCO BRANDS CORP,2780,Office of Manufacturing,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",712034
ACEL,"Accel Entertainment, Inc.",7900,Office of Trade & Services,SERVICES-AMUSEMENT & RECREATION SERVICES,1698991
ACET,ACETO CORP,5160,Office of Trade & Services,WHOLESALE-CHEMICALS & ALLIED PRODUCTS,2034
ACGL,ARCH CAPITAL GROUP LTD.,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",947484
ACHC,"Acadia Healthcare Company, Inc.",8093,Industrial Applications and Services,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",1520697
ACHR,Archer Aviation Inc.,3721,Office of Manufacturing,AIRCRAFT,1824502
ACI,ARCH COAL INC,1221,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING,1037676
ACIW,"ACI WORLDWIDE, INC.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,935036
ACLS,AXCELIS TECHNOLOGIES INC,3559,Office of Technology,"SPECIAL INDUSTRY MACHINERY, NEC",1113232
ACM,AECOM TECHNOLOGY CORP,8711,Office of Trade & Services,SERVICES-ENGINEERING SERVICES,868857
ACMR,"ACM Research, Inc.",3559,Office of Technology,"SPECIAL INDUSTRY MACHINERY, NEC",1680062
ACN,Accenture plc,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1467373
ACNB,ACNB CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,715579
ACRE,Ares Commercial Real Estate Corp,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1529377
ACRS,"Aclaris Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1557746
ACT,"Enact Holdings, Inc.",6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",1823529
ACVA,ACV Auctions Inc.,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1637873
ADBE,ADOBE SYSTEMS INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,796343
ADC,AGREE REALTY CORP,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,917251
ADGI,"Adagio Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1832038
ADI,ANALOG DEVICES INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,6281
ADM,ARCHER DANIELS MIDLAND CO,2070,Office of Manufacturing,FATS & OILS,7084
ADMA,"ADMA BIOLOGICS, INC.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1368514
ADNT,Adient plc,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,1670541
ADP,AUTOMATIC DATA PROCESSING INC,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,8670
ADPT,Adeptus Health Inc.,8060,Industrial Applications and Services,SERVICES-HOSPITALS,1602367
ADSK,AUTODESK INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,769397
ADT,ADT Corp,7381,Office of Trade & Services,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",1546640
ADTH,"AdTheorent Holding Company, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1838672
ADTN,ADTRAN INC,3661,Office of Manufacturing,TELEPHONE & TELEGRAPH APPARATUS,926282
ADUS,Addus HomeCare Corp,8082,Industrial Applications and Services,SERVICES-HOME HEALTH CARE SERVICES,1468328
ADV,Advantage Solutions Inc.,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1776661
AEE,CENTRAL ILLINOIS LIGHT CO,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED,18651
AEIS,ADVANCED ENERGY INDUSTRIES INC,3679,Office of Manufacturing,"ELECTRONIC COMPONENTS, NEC",927003
AEL,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,6311,Office of Finance,LIFE INSURANCE,1039828
AEO,AMERICAN EAGLE OUTFITTERS INC,5651,Office of Trade & Services,RETAIL-FAMILY CLOTHING STORES,919012
AEP,AMERICAN ELECTRIC POWER CO INC,4911,Office of Energy & Transportation,ELECTRIC SERVICES,4904
AERI,AERIE PHARMACEUTICALS INC,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1337553
AES,AES CORP,4991,Office of Energy & Transportation,COGENERATION SERVICES & SMALL POWER PRODUCERS,874761
AEVA,"Aeva Technologies, Inc.",3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,1789029
AFCG,"AFC Gamma, Inc.",6500,Office of Real Estate & Construction,REAL ESTATE,1822523
AFG,AMERICAN FINANCIAL GROUP INC,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",1042046
AFL,AFLAC INC,6321,Office of Finance,ACCIDENT & HEALTH INSURANCE,4977
AFRM,"Affirm Holdings, Inc.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1820953
AGCO,AGCO CORP /DE,3523,Office of Technology,FARM MACHINERY & EQUIPMENT,880266
AGEN,AGENUS INC,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1098972
AGIO,AGIOS PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1439222
AGL,"agilon health, inc.",8090,Industrial Applications and Services,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",1831097
AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,6111,Office of Finance,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,845877
AGNC,American Capital Agency Corp,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1423689
AGO,ASSURED GUARANTY LTD,6351,Office of Finance,SURETY INSURANCE,1273813
AGR,"Avangrid, Inc.",4911,Office of Energy & Transportation,ELECTRIC SERVICES,1634997
AGTI,"AGILITI, INC. \DE",7350,Office of Trade & Services,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING,1749704
AGX,ARGAN INC,1700,Office of Real Estate & Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,100591
AGYS,AGILYSYS INC,5065,Office of Trade & Services,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",78749
AHCO,AdaptHealth Corp.,8082,Industrial Applications and Services,SERVICES-HOME HEALTH CARE SERVICES,1725255
AHH,"Armada Hoffler Properties, Inc.",6500,Office of Real Estate & Construction,REAL ESTATE,1569187
AHT,ASHFORD HOSPITALITY TRUST INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1232582
AI,Arlington Asset Investment Corp.,6799,Office of Real Estate & Construction,"INVESTORS, NEC",1209028
AIG,AMERICAN INTERNATIONAL GROUP INC,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",5272
AIMC,"Altra Holdings, Inc.",3569,Office of Technology,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",1374535
AIN,ALBANY INTERNATIONAL CORP /DE/,2221,Office of Manufacturing,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",819793
AIP,"Arteris, Inc.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1667011
AIR,AAR CORP,3720,Office of Manufacturing,AIRCRAFT & PARTS,1750
AIRC,Apartment Income REIT Corp.,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1820877
AIRS,"Airsculpt Technologies, Inc.",8011,Industrial Applications and Services,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,1870940
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,5080,Office of Trade & Services,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES",109563
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,922864
AIZ,ASSURANT INC,6321,Office of Finance,ACCIDENT & HEALTH INSURANCE,1267238
AJG,GALLAGHER ARTHUR J & CO,6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",354190
AJRD,"AEROJET ROCKETDYNE HOLDINGS, INC.",3760,Office of Manufacturing,GUIDED MISSILES & SPACE VEHICLES & PARTS,40888
AKA,A.K.A. BRANDS HOLDING CORP.,5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES,1865107
AKAM,AKAMAI TECHNOLOGIES INC,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1086222
AKR,ACADIA REALTY TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,899629
AKRO,"Akero Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1744659
AKTS,"Akoustis Technologies, Inc.",3661,Office of Manufacturing,TELEPHONE & TELEGRAPH APPARATUS,1584754
AKYA,"Akoya Biosciences, Inc.",3826,Industrial Applications and Services,LABORATORY ANALYTICAL INSTRUMENTS,1711933
AL,AIR LEASE CORP,7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",1487712
ALB,ALBEMARLE CORP,2821,Industrial Applications and Services,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",915913
ALBO,"ALBIREO PHARMA, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1322505
ALCO,ALICO INC,100,Industrial Applications and Services,AGRICULTURAL PRODUCTION-CROPS,3545
ALE,ALLETE INC,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED,66756
ALEC,"Alector, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1653087
ALEX,ALEXANDER & BALDWIN INC,4400,Office of Energy & Transportation,WATER TRANSPORTATION,3453
ALG,ALAMO GROUP INC,3523,Office of Technology,FARM MACHINERY & EQUIPMENT,897077
ALGM,"ALLEGRO MICROSYSTEMS, INC.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,866291
ALGN,ALIGN TECHNOLOGY INC,3842,Industrial Applications and Services,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",1097149
ALGT,Allegiant Travel CO,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",1362468
ALHC,"Alignment Healthcare, Inc.",6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS,1832466
ALIT,"Alight, Inc. / Delaware",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1809104
ALK,ALASKA AIR GROUP INC,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",766421
ALKS,ALKERMES INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,874663
ALKT,"ALKAMI TECHNOLOGY, INC.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1529274
ALL,ALLSTATE CORP,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",899051
ALLE,Allegion plc,7381,Office of Trade & Services,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",1579241
ALLO,"Allogene Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1737287
ALLY,Ally Financial Inc.,6172,Office of Finance,FINANCE LESSORS,40729
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1178670
ALPN,"ALPINE IMMUNE SCIENCES, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1626199
ALRM,"Alarm.com Holdings, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1459200
ALRS,ALERUS FINANCIAL CORP,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,903419
ALSN,Allison Transmission Holdings Inc,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,1411207
ALTG,ALTA EQUIPMENT GROUP INC.,5084,Office of Trade & Services,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,1759824
ALTO,"Alto Ingredients, Inc.",2860,Industrial Applications and Services,INDUSTRIAL ORGANIC CHEMICALS,778164
ALTR,ALTERA CORP,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,768251
ALVR,"Allovir, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1754068
ALX,ALEXANDERS INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,3499
ALXO,ALX ONCOLOGY HOLDINGS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1810182
AM,AMERICAN GREETINGS CORP,2771,Office of Manufacturing,GREETING CARDS,5133
AMAL,Amalgamated Financial Corp.,6022,Office of Finance,STATE COMMERCIAL BANKS,1823608
AMAT,APPLIED MATERIALS INC /DE,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,6951
AMBA,AMBARELLA INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1280263
AMBC,AMBAC FINANCIAL GROUP INC,6351,Office of Finance,SURETY INSURANCE,874501
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",7830,Office of Trade & Services,SERVICES-MOTION PICTURE THEATERS,1411579
AMCR,Amcor plc,3990,Office of Manufacturing,MISCELLANEOUS MANUFACTURING INDUSTRIES,1748790
AMCX,AMC Networks Inc.,4841,Office of Technology,CABLE & OTHER PAY TELEVISION SERVICES,1514991
AMD,ADVANCED MICRO DEVICES INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,2488
AME,AMETEK INC/,3621,Office of Manufacturing,MOTORS & GENERATORS,1037868
AMED,AMEDISYS INC,8082,Industrial Applications and Services,SERVICES-HOME HEALTH CARE SERVICES,896262
AMEH,"Apollo Medical Holdings, Inc.",8742,Office of Trade & Services,SERVICES-MANAGEMENT CONSULTING SERVICES,1083446
AMG,AFFILIATED MANAGERS GROUP INC,6282,Office of Finance,INVESTMENT ADVICE,1004434
AMGN,AMGEN INC,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",318154
AMH,American Homes 4 Rent,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1562401
AMK,"AssetMark Financial Holdings, Inc.",6282,Office of Finance,INVESTMENT ADVICE,1591587
AMKR,AMKOR TECHNOLOGY INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1047127
AMN,AMERON INTERNATIONAL CORP,3270,Office of Manufacturing,"CONCRETE, GYPSUM & PLASTER PRODUCTS",790730
AMNB,AMERICAN NATIONAL BANKSHARES INC,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,741516
AMOT,ALLIED MOTION TECHNOLOGIES INC,3825,Industrial Applications and Services,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,46129
AMP,AMERIPRISE FINANCIAL INC,6282,Office of Finance,INVESTMENT ADVICE,820027
AMPH,"Amphastar Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1297184
AMPL,AMPAL-AMERICAN ISRAEL CORP,6799,Office of Real Estate & Construction,"INVESTORS, NEC",731859
AMPS,"Altus Power, Inc.",4911,Office of Energy & Transportation,ELECTRIC SERVICES,1828723
AMPY,Amplify Energy Corp.,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,1533924
AMR,AMR CORP,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",6201
AMRC,"Ameresco, Inc.",1700,Office of Real Estate & Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,1488139
AMRK,"A-Mark Precious Metals, Inc.",5094,Office of Trade & Services,"WHOLESALE-JEWELRY, WATCHES, PRECIOUS STONES & METALS",1591588
AMRS,"AMYRIS, INC.",2860,Industrial Applications and Services,INDUSTRIAL ORGANIC CHEMICALS,1365916
AMRX,"Amneal Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1723128
AMSF,AMERISAFE INC,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",1018979
AMSWA,AMERICAN SOFTWARE INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,713425
AMT,AMERICAN TOWER CORP /MA/,4899,Office of Technology,"COMMUNICATIONS SERVICES, NEC",1053507
AMTB,Mercantil Bank Holding Corp,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,1734342
AMTX,"AEMETIS, INC",2860,Industrial Applications and Services,INDUSTRIAL ORGANIC CHEMICALS,738214
AMWD,AMERICAN WOODMARK CORP,2430,Office of Manufacturing,"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS",794619
AMWL,American Well Corp,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1393584
AMZN,AMAZON COM INC,5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES,1018724
AN,"AUTONATION, INC.",5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,350698
ANAB,ANAPTYSBIO INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1370053
ANDE,ANDERSONS INC,5150,Office of Trade & Services,WHOLESALE-FARM PRODUCT RAW MATERIALS,821026
ANET,"Arista Networks, Inc.",3576,Office of Technology,COMPUTER COMMUNICATIONS EQUIPMENT,1596532
ANF,ABERCROMBIE & FITCH CO /DE/,5651,Office of Trade & Services,RETAIL-FAMILY CLOTHING STORES,1018840
ANGO,ANGIODYNAMICS INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1275187
ANIK,ANIKA THERAPEUTICS INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,898437
ANIP,ANI PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1023024
ANSS,ANSYS INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1013462
ANTM,"Anthem, Inc.",6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS,1156039
ANTX,"Anthem, Inc.",6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS,1156039
AOMR,"Angel Oak Mortgage, Inc.",6500,Office of Real Estate & Construction,REAL ESTATE,1766478
AON,AON CORP,6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",315293
AOS,SMITH A O CORP,3621,Office of Manufacturing,MOTORS & GENERATORS,91142
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1387467
APA,APACHE CORP,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,6769
APAM,Artisan Partners Asset Management Inc.,6282,Office of Finance,INVESTMENT ADVICE,1517302
APD,AIR PRODUCTS & CHEMICALS INC /DE/,2810,Industrial Applications and Services,INDUSTRIAL INORGANIC CHEMICALS,2969
APEI,AMERICAN PUBLIC EDUCATION INC,8200,Office of Trade & Services,SERVICES-EDUCATIONAL SERVICES,1201792
APG,APi Group Corp,1700,Office of Real Estate & Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,1796209
APH,AMPHENOL CORP /DE/,3678,Office of Manufacturing,ELECTRONIC CONNECTORS,820313
APLD,"Applied Blockchain, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1144879
APLE,"Apple Hospitality REIT, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1418121
APLS,"Apellis Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1492422
APO,Apollo Global Management LLC,6282,Office of Finance,INVESTMENT ADVICE,1411494
APOG,"APOGEE ENTERPRISES, INC.",3231,Office of Manufacturing,"GLASS PRODUCTS, MADE OF PURCHASED GLASS",6845
APP,"AMERICAN APPAREL, INC",6770,Office of Real Estate & Construction,BLANK CHECKS,1336545
APPF,APPFOLIO INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1433195
APPH,"AppHarvest, Inc.",100,Industrial Applications and Services,AGRICULTURAL PRODUCTION-CROPS,1807707
APPN,APPIAN CORP,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1441683
APPS,"Digital Turbine, Inc.",6794,Office of Real Estate & Construction,PATENT OWNERS & LESSORS,317788
APTV,Aptiv PLC,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,1521332
AQUA,Evoqua Water Technologies Corp.,3580,Office of Technology,REFRIGERATION & SERVICE INDUSTRY MACHINERY,1604643
AR,ANTERO RESOURCES Corp,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,1433270
ARCB,ARCBEST CORP /DE/,4213,Office of Energy & Transportation,TRUCKING (NO LOCAL),894405
ARCH,ARCH COAL INC,1221,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING,1037676
ARCT,Arcturus Therapeutics Ltd.,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1566049
ARE,ALEXANDRIA REAL ESTATE EQUITIES INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1035443
ARES,Ares Management Corp,6282,Office of Finance,INVESTMENT ADVICE,1176948
ARGO,"Argo Group International Holdings, Ltd.",6361,Office of Finance,TITLE INSURANCE,1091748
ARI,"Apollo Commercial Real Estate Finance, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1467760
ARIS,ARI NETWORK SERVICES INC /WI,7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",879796
ARKO,ARKO Corp.,5412,Office of Trade & Services,RETAIL-CONVENIENCE STORES,1823794
ARL,AMERICAN REALTY INVESTORS INC,6510,Office of Real Estate & Construction,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS,1102238
ARLO,"Arlo Technologies, Inc.",3651,Office of Manufacturing,HOUSEHOLD AUDIO & VIDEO EQUIPMENT,1736946
ARMK,Aramark,5812,Office of Trade & Services,RETAIL-EATING PLACES,1584509
ARNC,Arconic Inc.,3350,Office of Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,4281
AROC,"Archrock, Inc.",7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",1389050
AROW,ARROW FINANCIAL CORP,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,717538
ARQT,"Arcutis Biotherapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1787306
ARR,"Armour Residential REIT, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1428205
ARRY,PHOTOMEDEX INC,3845,Industrial Applications and Services,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,711665
ARTNA,ARTESIAN RESOURCES CORP,4941,Office of Energy & Transportation,WATER SUPPLY,863110
ARVN,"ARVINAS, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1655759
ARW,ARROW ELECTRONICS INC,5065,Office of Trade & Services,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",7536
ARWR,ARROWHEAD RESEARCH CORP,8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,879407
ASAN,"Asana, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1477720
ASB,ASSOCIATED BANC-CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,7789
ASGN,ON ASSIGNMENT INC,7363,Office of Trade & Services,SERVICES-HELP SUPPLY SERVICES,890564
ASH,ASHLAND INC.,5160,Office of Trade & Services,WHOLESALE-CHEMICALS & ALLIED PRODUCTS,1305014
